date,time_range,season,holiday,weekday,workingday,weathersit,casual,registered,count
2011-01-01,Night,Springer,workingday/weekend,Saturday,weekend/holiday,Clear/Few Clouds,3,13,16
2011-01-01,Night,Springer,workingday/weekend,Saturday,weekend/holiday,Clear/Few Clouds,8,32,40
2011-01-01,Night,Springer,workingday/weekend,Saturday,weekend/holiday,Clear/Few Clouds,5,27,32
2011-01-01,Night,Springer,workingday/weekend,Saturday,weekend/holiday,Clear/Few Clouds,3,10,13
2011-01-01,Night,Springer,workingday/weekend,Saturday,weekend/holiday,Clear/Few Clouds,0,1,1
2011-01-01,Night,Springer,workingday/weekend,Saturday,weekend/holiday,Mist/Cloudy,0,1,1
2011-01-01,Night,Springer,workingday/weekend,Saturday,weekend/holiday,Clear/Few Clouds,2,0,2
2011-01-01,Morning,Springer,workingday/weekend,Saturday,weekend/holiday,Clear/Few Clouds,1,2,3
2011-01-01,Morning,Springer,workingday/weekend,Saturday,weekend/holiday,Clear/Few Clouds,1,7,8
2011-01-01,Morning,Springer,workingday/weekend,Saturday,weekend/holiday,Clear/Few Clouds,8,6,14
2011-01-01,Morning,Springer,workingday/weekend,Saturday,weekend/holiday,Clear/Few Clouds,12,24,36
2011-01-01,Morning,Springer,workingday/weekend,Saturday,weekend/holiday,Clear/Few Clouds,26,30,56
2011-01-01,Morning,Springer,workingday/weekend,Saturday,weekend/holiday,Clear/Few Clouds,29,55,84
2011-01-01,Afternoon,Springer,workingday/weekend,Saturday,weekend/holiday,Mist/Cloudy,47,47,94
2011-01-01,Afternoon,Springer,workingday/weekend,Saturday,weekend/holiday,Mist/Cloudy,35,71,106
2011-01-01,Afternoon,Springer,workingday/weekend,Saturday,weekend/holiday,Mist/Cloudy,40,70,110
2011-01-01,Afternoon,Springer,workingday/weekend,Saturday,weekend/holiday,Mist/Cloudy,41,52,93
2011-01-01,Afternoon,Springer,workingday/weekend,Saturday,weekend/holiday,Mist/Cloudy,15,52,67
2011-01-01,Afternoon,Springer,workingday/weekend,Saturday,weekend/holiday,Light Rain/Light Snow,9,26,35
2011-01-01,Evening,Springer,workingday/weekend,Saturday,weekend/holiday,Light Rain/Light Snow,6,31,37
2011-01-01,Evening,Springer,workingday/weekend,Saturday,weekend/holiday,Mist/Cloudy,11,25,36
2011-01-01,Evening,Springer,workingday/weekend,Saturday,weekend/holiday,Mist/Cloudy,3,31,34
2011-01-01,Evening,Springer,workingday/weekend,Saturday,weekend/holiday,Mist/Cloudy,11,17,28
2011-01-01,Evening,Springer,workingday/weekend,Saturday,weekend/holiday,Mist/Cloudy,15,24,39
2011-01-02,Night,Springer,workingday/weekend,Sunday,weekend/holiday,Mist/Cloudy,4,13,17
2011-01-02,Night,Springer,workingday/weekend,Sunday,weekend/holiday,Mist/Cloudy,1,16,17
2011-01-02,Night,Springer,workingday/weekend,Sunday,weekend/holiday,Mist/Cloudy,1,8,9
2011-01-02,Night,Springer,workingday/weekend,Sunday,weekend/holiday,Mist/Cloudy,2,4,6
2011-01-02,Night,Springer,workingday/weekend,Sunday,weekend/holiday,Mist/Cloudy,2,1,3
2011-01-02,Night,Springer,workingday/weekend,Sunday,weekend/holiday,Light Rain/Light Snow,0,2,2
2011-01-02,Morning,Springer,workingday/weekend,Sunday,weekend/holiday,Mist/Cloudy,0,1,1
2011-01-02,Morning,Springer,workingday/weekend,Sunday,weekend/holiday,Light Rain/Light Snow,0,8,8
2011-01-02,Morning,Springer,workingday/weekend,Sunday,weekend/holiday,Mist/Cloudy,1,19,20
2011-01-02,Morning,Springer,workingday/weekend,Sunday,weekend/holiday,Mist/Cloudy,7,46,53
2011-01-02,Morning,Springer,workingday/weekend,Sunday,weekend/holiday,Mist/Cloudy,16,54,70
2011-01-02,Morning,Springer,workingday/weekend,Sunday,weekend/holiday,Mist/Cloudy,20,73,93
2011-01-02,Afternoon,Springer,workingday/weekend,Sunday,weekend/holiday,Mist/Cloudy,11,64,75
2011-01-02,Afternoon,Springer,workingday/weekend,Sunday,weekend/holiday,Light Rain/Light Snow,4,55,59
2011-01-02,Afternoon,Springer,workingday/weekend,Sunday,weekend/holiday,Light Rain/Light Snow,19,55,74
2011-01-02,Afternoon,Springer,workingday/weekend,Sunday,weekend/holiday,Light Rain/Light Snow,9,67,76
2011-01-02,Afternoon,Springer,workingday/weekend,Sunday,weekend/holiday,Clear/Few Clouds,7,58,65
2011-01-02,Afternoon,Springer,workingday/weekend,Sunday,weekend/holiday,Mist/Cloudy,10,43,53
2011-01-02,Evening,Springer,workingday/weekend,Sunday,weekend/holiday,Clear/Few Clouds,1,29,30
2011-01-02,Evening,Springer,workingday/weekend,Sunday,weekend/holiday,Clear/Few Clouds,5,17,22
